,score,O080,R101,R105,R106
2021-10-12,0.434072161695373,0.7266016345900344,0.6617043121149897,0.14908767245215843,0.19889502762430944
2021-10-13,0.42863284004305957,0.6945176594623089,0.6608517188301692,0.1659252669039146,0.19323671497584538
2021-10-14,0.4237187249376242,0.6961791831357049,0.6564102564102564,0.14228546020453534,0.19999999999999996
2021-10-15,0.4277758841089774,0.6981032665964173,0.6473603280369041,0.16577777777777777,0.1998621640248105
2021-10-16,0.4122501928795405,0.6528838556755333,0.634733606557377,0.17681030653043092,0.18457300275482091
2021-10-17,0.3970924823006926,0.6111111111111112,0.6303123399897593,0.1700710479573712,0.17687543014452856
2021-10-18,0.39545948088176264,0.6106870229007634,0.6141248720573182,0.18508655126498003,0.17193947730398895
2021-10-19,0.3983591209844951,0.601842105263158,0.6030690537084399,0.21739130434782608,0.17113402061855665
2021-10-20,0.41426628811981003,0.6101026045777427,0.591002044989775,0.2842572062084257,0.17170329670329665
2021-10-21,0.37545963561929163,0.6338769068911099,0.5508431272355647,0.13386524822695037,0.18325326012354148
2021-10-22,0.3772336854090338,0.6494872469103339,0.533197139938713,0.13557820115197164,0.19067215363511658
2021-10-23,0.36895863736925066,0.6603575184016824,0.49923430321592654,0.12090345438441098,0.1953392734749828
2021-10-24,0.35831152358648793,0.6520367936925098,0.4821428571428571,0.10934041611332448,0.1897260273972603
2021-10-25,0.35745161742010156,0.6873357856016815,0.4477307496175421,0.11061946902654868,0.18412046543463378
2021-10-26,0.36834989025382003,0.7318098240084056,0.42864424057084605,0.12074303405572756,0.19220246238030092
2021-10-27,0.3766116192134076,0.7636554621848739,0.42384105960264906,0.1268788682581786,0.19207108680792895
2021-10-28,0.3744520817444914,0.7511157784195327,0.4139511201629328,0.14626601855943439,0.1864754098360656
2021-10-29,0.36193300118905875,0.7131233595800526,0.3964376590330789,0.14840989399293286,0.18976109215017067
2021-10-30,0.3631695410573647,0.7171346103384939,0.39267548321464907,0.1368653421633554,0.20600272851296042
2021-10-31,0.36552190034845033,0.727177334732424,0.3904422979156075,0.1297440423654016,0.21472392638036808
2021-11-01,0.39116842493201454,0.7896669289273538,0.3887195121951219,0.16762240846934273,0.21866485013623982
2021-11-02,0.3916891423303753,0.777136864184583,0.38649060436769933,0.17372134038800705,0.2294077603812117
2021-11-03,0.3941599479061094,0.78086500655308,0.3822335025380711,0.1740855002203614,0.2394557823129252
2021-11-04,0.3962275149477746,0.7817085953878407,0.38254693049213595,0.17048458149779736,0.2501699524133243
2021-11-05,0.3945884552514668,0.7909352894943673,0.3813387423935092,0.1567591369440775,0.24932065217391308
2021-11-06,0.3937378079538327,0.8017286537454165,0.38165230613279266,0.14920774647887325,0.24236252545824843
2021-11-07,0.39735106302445655,0.8156585493584708,0.3819655521783182,0.14958205015398152,0.24219810040705558
2021-11-08,0.3993876056761622,0.8212041884816754,0.3762025316455696,0.15743183817062445,0.2427118644067796
2021-11-09,0.39798731858749403,0.8086888249149438,0.36133603238866396,0.17802197802197803,0.24390243902439024
2021-11-10,0.39778438527638427,0.8155416012558869,0.35457764289327265,0.16915641476274165,0.2518618821936357
2021-11-11,0.3922141576670736,0.8161130002615746,0.35136501516683516,0.15239350021958717,0.24898511502029774
2021-11-12,0.39678268127735916,0.8376046025104602,0.35169277412834765,0.14969271290605796,0.24814063556457067
2021-11-13,0.3937727115961571,0.8329411764705883,0.3535353535353535,0.14874945151382185,0.2398648648648649
2021-11-14,0.38783600493474335,0.8298484056455828,0.3558808682483594,0.12456140350877193,0.2410533423362593
2021-11-15,0.3892329335857212,0.8212699242226287,0.358728557013118,0.13064445418676018,0.24628879892037792
2021-11-16,0.3902534757911521,0.8278474399164054,0.35955622793746844,0.1200701139351446,0.25354012137559
2021-11-17,0.39268981812789133,0.8336380255941499,0.36693548387096775,0.11344721857205431,0.2567385444743935
2021-11-18,0.39184981847469497,0.8430809399477807,0.3672544080604534,0.09982486865148861,0.25723905723905727
2021-11-19,0.38246034178053523,0.8133646567475855,0.3675730110775428,0.09452954048140044,0.25437415881561243
2021-11-20,0.38428869874737465,0.8110647181628392,0.3875188726723704,0.09580052493438321,0.2427706792199058
2021-11-21,0.38434372058222277,0.8056352726324028,0.3878269617706237,0.09794490599038042,0.24596774193548387
2021-11-22,0.3815860107282433,0.7968179447052687,0.3881347410759175,0.10096153846153846,0.24042981867024849
2021-11-23,0.37873038763490185,0.7846153846153846,0.38994974874371857,0.10747051114023591,0.2328859060402685
2021-11-24,0.37069778294750666,0.7557351407716371,0.3902561526870919,0.10742358078602621,0.22937625754527158
2021-11-25,0.3499125897053612,0.6877769090435235,0.3910642570281124,0.1043212570929725,0.21648793565683644
2021-11-26,0.35450753907099286,0.7113079729025534,0.39136979427998,0.10034904013961606,0.21500334896182183
2021-11-27,0.33414947570562115,0.6366241208648085,0.39167502507522567,0.09812472743131269,0.21017402945113783
2021-11-28,0.3356902808753599,0.6661458333333333,0.3954887218045112,0.0985178727114211,0.18260869565217386
2021-11-29,0.332095839761204,0.6618068211403281,0.39779559118236474,0.10501089324618737,0.16377005347593587
2021-11-30,0.33248088759180633,0.6686621551275378,0.3980971457185779,0.11019163763066202,0.15297261189044753
