,score,N005,M018,M096t,M068
2021-08-29,0.36452570321292094,0.5572755417956656,0.3297791317593298,0.1816091954022988,0.3894389438943895
2021-08-30,0.4540837586477315,0.8422273781902552,0.5951293759512938,0.17304747320061253,0.20593080724876445
2021-08-31,0.3802693898638809,0.6561051004636785,0.5695817490494297,0.17368018362662585,0.12171052631578949
2021-09-01,0.36437040961607325,0.711969111969112,0.3199088145896657,0.19571865443425074,0.22988505747126442
2021-09-02,0.34671619018881317,0.6520061728395061,0.3614274867122248,0.16195569136745602,0.2114754098360656
2021-09-03,0.3300920559140273,0.5458750963762529,0.2943854324734446,0.16259541984732828,0.3175122749590835
2021-09-04,0.32714111293509307,0.33513097072419107,0.3100833965125095,0.18459191456903123,0.4787581699346405
2021-09-05,0.1245022830020949,0.17628945342571212,0.015909090909090873,0.17530487804878048,0.13050570962479613
2021-09-06,0.2738054399897314,0.2692307692307693,0.01362604087812258,0.09900990099009899,0.7133550488599348
2021-09-07,0.590319288129922,0.8877786318216756,0.6437216338880485,0.09969558599695583,0.7300813008130081
2021-09-08,0.5708020288690638,0.9293394777265745,0.7218442932728647,0.42585551330798477,0.20616883116883122
2021-09-09,0.6490670942064054,0.9148119723714505,0.690332326283988,0.4384498480243161,0.5526742301458671
2021-09-10,0.6560180847492373,0.9739263803680982,0.8362264150943396,0.43204252088078965,0.3818770226537217
2021-09-11,0.7044709201268047,0.9739463601532568,0.8054298642533937,0.7040971168437026,0.3344103392568659
2021-09-12,0.6924301601869902,0.7496171516079633,0.7219291635267521,0.6868840030326004,0.6112903225806452
2021-09-13,0.5715402686779725,0.7804131599081867,0.8275602409638554,0.4575757575757575,0.22061191626409016
2021-09-14,0.6950635452002876,0.6024464831804281,0.6230248306997743,0.712339137017411,0.842443729903537
2021-09-15,0.4698643414064064,0.2979373567608862,0.5338345864661654,0.4024205748865356,0.6452648475120385
2021-09-16,0.40314207839031646,0.38854961832061063,0.5574755822689708,0.36205593348450493,0.3044871794871795
2021-09-17,0.5106113810153666,0.5537757437070938,0.6013513513513513,0.4169184290030211,0.47040000000000004
