,score,M066
2017-02-02,0.39373871161950635,0.39373871161950635
2017-02-03,0.3820697954271961,0.3820697954271961
2017-02-04,0.3794347564642213,0.3794347564642213
2017-02-05,0.3768028846153846,0.3768028846153846
2017-02-06,0.3825825825825826,0.3825825825825826
2017-02-07,0.3787515006002401,0.3787515006002401
2017-02-08,0.3725254949010198,0.3725254949010198
2017-02-09,0.37290167865707435,0.37290167865707435
2017-02-10,0.4074295985620132,0.4074295985620132
2017-02-11,0.39820359281437123,0.39820359281437123
2017-02-12,0.38839018551765414,0.38839018551765414
2017-02-13,0.3953349282296651,0.3953349282296651
2017-02-14,0.39988045427375973,0.39988045427375973
2017-02-15,0.3930704898446834,0.3930704898446834
2017-02-16,0.39223880597014926,0.39223880597014926
2017-02-17,0.37828162291169454,0.37828162291169454
2017-02-18,0.3738819320214669,0.3738819320214669
2017-02-19,0.3736591179976162,0.3736591179976162
2017-02-20,0.37462775461584275,0.37462775461584275
2017-02-21,0.3654761904761905,0.3654761904761905
2017-02-22,0.36049970255800123,0.36049970255800123
2017-02-23,0.36087990487514865,0.36087990487514865
2017-02-24,0.35710041592394537,0.35710041592394537
2017-02-25,0.3574821852731591,0.3574821852731591
2017-02-26,0.35905044510385753,0.35905044510385753
2017-02-27,0.35824436536180304,0.35824436536180304
2017-02-28,0.3568464730290456,0.3568464730290456
2017-03-01,0.3584123222748815,0.3584123222748815
2017-03-02,0.3540556542332741,0.3540556542332741
2017-03-03,0.3520710059171598,0.3520710059171598
2017-03-04,0.3506800709639266,0.3506800709639266
2017-03-05,0.35165484633569744,0.35165484633569744
2017-03-06,0.3508564678086238,0.3508564678086238
2017-03-07,0.35064935064935066,0.35064935064935066
2017-03-08,0.3569321533923304,0.3569321533923304
2017-03-09,0.36615566037735847,0.36615566037735847
2017-03-10,0.3618149675898644,0.3618149675898644
2017-03-11,0.37809187279151946,0.37809187279151946
2017-03-12,0.36315479693937613,0.36315479693937613
2017-03-13,0.35705882352941176,0.35705882352941176
2017-03-14,0.3562610229276896,0.3562610229276896
2017-03-15,0.35605170387779084,0.35605170387779084
2017-03-16,0.3534938344098649,0.3534938344098649
2017-03-17,0.36561032863849763,0.36561032863849763
2017-03-18,0.39413489736070384,0.39413489736070384
2017-03-19,0.48007033997655335,0.48007033997655335
2017-03-20,0.4282366725248975,0.4282366725248975
2017-03-21,0.4238875878220141,0.4238875878220141
2017-03-22,0.3809245172615565,0.3809245172615565
2017-03-23,0.4251461988304094,0.4251461988304094
2017-03-24,0.4284044418468732,0.4284044418468732
2017-03-25,0.5146028037383177,0.5146028037383177
2017-03-26,0.4833625218914186,0.4833625218914186
2017-03-27,0.4889148191365228,0.4889148191365228
2017-03-28,0.42507288629737605,0.42507288629737605
2017-03-29,0.4248251748251748,0.4248251748251748
2017-03-30,0.4280722189866045,0.4280722189866045
2017-03-31,0.42840512223515714,0.42840512223515714
2017-04-01,0.3996509598603839,0.3996509598603839
2017-04-02,0.39360465116279075,0.39360465116279075
2017-04-03,0.3858221963974433,0.3858221963974433
2017-04-04,0.3745644599303136,0.3745644599303136
