fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O013,Mcap / thermocap,cycle,-1,cm,7,dev,ex_2017,4170,595.7,-0.0806,-0.1466,-0.0218,0.0806,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1809,-0.3557,-0.0416,0.1809,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,7,holdout,full,1323,189.0,-0.1049,-0.1908,-0.0185,0.1049,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,full,4519,150.6,-0.133,-0.2488,-0.0147,0.133,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3787,126.2,-0.1442,-0.2643,-0.0319,0.1442,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,ex_2017,4124,137.5,-0.1753,-0.3016,-0.0748,0.1753,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,30,holdout,full,1300,43.3,-0.2892,-0.4296,-0.1192,0.2892,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,full,4459,49.5,-0.2429,-0.4032,-0.0815,0.2429,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3667,40.7,-0.2388,-0.413,-0.0835,0.2388,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,ex_2017,4004,44.5,-0.3039,-0.4595,-0.1633,0.3039,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,180,dev,full,4369,24.3,-0.3586,-0.5338,-0.1471,0.3586,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3487,19.4,-0.2883,-0.5268,-0.0671,0.2883,True,True,ok
