,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1961-06-10,,,,,,,,,,0.9798387096774194,,,,,,,,,,
1961-06-11,,,,,,,,,,0.9778672032193159,,,,,,,,,,
1961-06-12,,,,,,,,,,0.9759036144578314,,,,,,,,,,
1961-06-13,,,,,,,,,,0.9739478957915831,,,,,,,,,,
1961-06-14,,,,,,,,,,0.972,,,,,,,,,,
1961-06-15,,,,,,,,,,0.9700598802395209,,,,,,,,,,
1961-06-16,,,,,,,,,,0.9681274900398407,,,,,,,,,,
1961-06-17,,,,,,,,,,0.9662027833001988,,,,,,,,,,
1961-06-18,,,,,,,,,,0.9642857142857143,,,,,,,,,,
1961-06-19,,,,,,,,,,0.9623762376237623,,,,,,,,,,
1961-06-20,,,,,,,,,,0.9604743083003953,,,,,,,,,,
1961-06-21,,,,,,,,,,0.9585798816568047,,,,,,,,,,
1961-06-22,,,,,,,,,,0.9566929133858267,,,,,,,,,,
1961-06-23,,,,,,,,,,0.9548133595284872,,,,,,,,,,
1961-06-24,,,,,,,,,,0.9529411764705882,,,,,,,,,,
1961-06-25,,,,,,,,,,0.9510763209393346,,,,,,,,,,
1961-06-26,,,,,,,,,,0.94921875,,,,,,,,,,
1961-06-27,,,,,,,,,,0.9473684210526315,,,,,,,,,,
1961-06-28,,,,,,,,,,0.9455252918287937,,,,,,,,,,
1961-06-29,,,,,,,,,,0.9436893203883495,,,,,,,,,,
1961-06-30,,,,,,,,,,0.9418604651162791,,,,,,,,,,
1961-07-01,,,,,,,,,,1.0,,,,,,,,,,
1961-07-02,,,,,,,,,,0.9980694980694981,,,,,,,,,,
1961-07-03,,,,,,,,,,0.9961464354527938,,,,,,,,,,
1961-07-04,,,,,,,,,,0.9942307692307693,,,,,,,,,,
1961-07-05,,,,,,,,,,0.9923224568138196,,,,,,,,,,
1961-07-06,,,,,,,,,,0.9904214559386973,,,,,,,,,,
1961-07-07,,,,,,,,,,0.988527724665392,,,,,,,,,,
1961-07-08,,,,,,,,,,0.9866412213740458,,,,,,,,,,
1961-07-09,,,,,,,,,,0.9847619047619047,,,,,,,,,,
1961-07-10,,,,,,,,,,0.9828897338403042,,,,,,,,,,
1961-07-11,,,,,,,,,,0.9810246679316889,,,,,,,,,,
1961-07-12,,,,,,,,,,0.9791666666666666,,,,,,,,,,
1961-07-13,,,,,,,,,,0.9773156899810964,,,,,,,,,,
1961-07-14,,,,,,,,,,0.9754716981132076,,,,,,,,,,
1961-07-15,,,,,,,,,,0.9736346516007532,,,,,,,,,,
1961-07-16,,,,,,,,,,0.9718045112781954,,,,,,,,,,
1961-07-17,,,,,,,,,,0.9699812382739212,,,,,,,,,,
1961-07-18,,,,,,,,,,0.9681647940074907,,,,,,,,,,
1961-07-19,,,,,,,,,,0.9663551401869159,,,,,,,,,,
1961-07-20,,,,,,,,,,0.9645522388059702,,,,,,,,,,
1961-07-21,,,,,,,,,,0.962756052141527,,,,,,,,,,
1961-07-22,,,,,,,,,,0.9609665427509294,,,,,,,,,,
1961-07-23,,,,,,,,,,0.9591836734693877,,,,,,,,,,
1961-07-24,,,,,,,,,,0.9574074074074074,,,,,,,,,,
1961-07-25,,,,,,,,,,0.955637707948244,,,,,,,,,,
1961-07-26,,,,,,,,,,0.9538745387453874,,,,,,,,,,
1961-07-27,,,,,,,,,,0.9521178637200737,,,,,,,,,,
1961-07-28,,,,,,,,,,0.9503676470588235,,,,,,,,,,
1961-07-29,,,,,,,,,,0.9486238532110092,,,,,,,,,,
1961-07-30,,,,,,,,,,0.9468864468864469,,,,,,,,,,
1961-07-31,,,,,,,,,,0.8884826325411335,,,,,,,,,,
1961-08-01,,,,,,,,,,0.8868613138686131,,,,,,,,,,
1961-08-02,,,,,,,,,,0.8852459016393442,,,,,,,,,,
1961-08-03,,,,,,,,,,0.8836363636363637,,,,,,,,,,
1961-08-04,,,,,,,,,,0.8820326678765881,,,,,,,,,,
