,score,M096t,N005,M018,M068,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112
2025-04-10,0.6084933384268836,0.6110476190476191,0.7618702428416093,0.6809352517985612,0.90134994807892,0.7109375,0.5672928857406837,0.39820895522388056,0.6531826293872696,0.42637644046094747,0.390653085680048,0.9819233550253073,0.2591339648173207,0.34602311352821213,0.5388732394366197,0.5834242093784079,0.9246609743847313
2025-04-11,0.584466272657902,0.8054074638233054,0.07173913043478264,0.4181948939230493,0.8562532433834977,0.7574180114523685,0.5920566502463054,0.19570405727923623,0.6617122473246135,0.4446577095329495,0.9473053892215569,0.9082369942196532,0.3583502366463827,0.3559782608695652,0.4714165023936919,0.5381540697674418,0.9688755020080322
2025-04-12,0.5396308213035497,0.5367339170156071,0.05360376675117706,0.29870596693026596,0.7012448132780082,0.7643080124869928,0.5718682671591259,0.06022659511031603,0.5775401069518716,0.5051150895140665,0.9652902453620587,0.911913357400722,0.4047297297297297,0.40054310930074677,0.4560810810810811,0.47184889211768977,0.9543401906673357
2025-04-13,0.5565863462146666,0.5114155251141552,0.03729181752353372,0.39633489040603664,0.864696734059098,0.7082683307332294,0.6113846153846154,0.24493444576877232,0.5195961995249406,0.3910543130990415,0.8498803827751196,0.9747474747474747,0.3632680621201891,0.708955223880597,0.5192794821277793,0.3311546840958606,0.8731193580742227
2025-04-14,0.5133204928793439,0.699505515405097,0.24610930148389432,0.34195402298850575,0.6813471502590673,0.7073804573804574,0.5810519840049215,0.2078618225134008,0.5869436201780416,0.33269476372924645,0.8768679019725045,0.9560201874549387,0.25371120107962214,0.3850847457627119,0.5689364096792346,0.32450090744101634,0.4631578947368421
2025-04-15,0.5125181451423324,0.6277566539923954,0.12662807525325614,0.4039497307001796,0.6406007250129466,0.72,0.6303813038130381,0.26369047619047614,0.6334519572953736,0.25973197192086794,0.7962962962962963,0.9423631123919308,0.17262306136210384,0.8529810298102981,0.26047819971870606,0.362844702467344,0.5065130260521042
2025-04-16,0.525439811026902,0.7293804637020145,0.3681735985533454,0.27207465900933236,0.7401656314699794,0.7289719626168225,0.6369505072241008,0.4235574063057703,0.5898043864848844,0.17219387755102045,0.8298507462686567,0.9330453563714903,0.15768194070080863,0.7156398104265402,0.14510686164229472,0.3500181356546971,0.614421632448673
2025-04-17,0.5000655082726413,0.7135258358662614,0.44540853217642806,0.170075349838536,0.5887221934816348,0.7394914374675662,0.6078672403196066,0.23959571938168844,0.6214454976303317,0.1210962396430848,0.9152744630071599,0.9136690647482014,0.13737373737373737,0.8085250338294994,0.14534720269890358,0.3426395939086294,0.49099099099099097
2025-04-18,0.5695469368665455,0.672616786935055,0.35923382724972897,0.22489239598278332,0.9400206825232679,0.7069502074688796,0.5956989247311828,0.6702317290552584,0.5790408525754884,0.06687898089171973,0.8187239117471675,0.9166067577282531,0.11238223418573351,0.9350912778904665,0.3636874648679033,0.34179050380572673,0.8089044522261131
2025-04-19,0.5649418377026982,0.6837509491268033,0.3872832369942196,0.1538185729652205,0.5431524547803618,0.7319854847071021,0.6188574938574938,0.666270783847981,0.6189349112426035,0.0827498408656906,0.9117997616209773,0.8685344827586207,0.13584398117014124,0.9317567567567567,0.5085698229839842,0.37826086956521743,0.8175
2025-04-20,0.5448998455626467,0.6413662239089184,0.29613578909353555,0.13942652329749106,0.7277892561983471,0.8051813471502591,0.5732268959164876,0.5602373887240356,0.5547013601419278,0.08842239185750633,0.8117927337701012,0.8937544867193108,0.13373655913978494,0.9034436191762323,0.33146067415730335,0.44512857660268024,0.8125937031484258
2025-04-21,0.5272750847231865,0.6096358118361154,0.17003610108303246,0.08061626657112142,0.8843572534847702,0.8161574313827032,0.55463474524248,0.1654804270462633,0.5886524822695036,0.0673871582962492,0.9636904761904762,0.8773314203730272,0.15513767629281397,0.7577597840755735,0.4462229710755406,0.497103548153512,0.8021978021978022
2025-04-22,0.4124859620516088,0.4918467956010618,0.04511006856730426,0.01862464183381085,0.6176470588235294,0.8322981366459627,0.483583921448297,0.1387077652637818,0.48907265209686945,0.08894536213468873,0.9970255800118977,0.7405017921146954,0.23758389261744967,0.27376938637896153,0.4553621560920831,0.505971769815418,0.18372441337993006
2025-04-23,0.44099554068936253,0.18840030326004553,0.03968253968253965,0.07268170426065168,0.9375966993295514,0.8484221417485773,0.503680981595092,0.20853080568720384,0.43624557260920893,0.10730158730158734,0.9940546967895363,0.8137535816618912,0.15828303152246814,0.4353099730458221,0.6028627561044064,0.5604196816208393,0.14870259481037928
