,score,y,year
2022-08-20,0.23531613266816687,-0.05355978312912425,2022
2022-08-21,0.2416725288514554,-0.09551651641201808,2022
2022-08-22,0.21759408233404987,-0.05346529487748438,2022
2022-08-23,0.38245431303853805,-0.08313578407839353,2022
2022-08-24,0.46238755287170846,-0.06366806845847257,2022
2022-08-25,0.4575099031690141,-0.06851145256181201,2022
2022-08-26,0.39734692580852404,-0.014390348471385567,2022
2022-08-27,0.3300882780303885,-0.010318756201375139,2022
2022-08-28,0.26597686420515143,0.022485071652526036,2022
2022-08-29,0.2909882215692513,-0.024395354189431416,2022
2022-08-30,0.2164773456927046,-0.052913376287296525,2022
2022-08-31,0.34700800392739295,-0.03849610863519132,2022
2022-09-01,0.32056550865466094,-0.04115484163435781,2022
2022-09-02,0.28627592076756425,0.06820279181882247,2022
2022-09-03,0.24884799744231106,0.0876370247795852,2022
2022-09-04,0.3221150881736342,0.08739450617156516,2022
2022-09-05,0.28024143764091747,0.1233484331992247,2022
2022-09-06,0.2767211674886832,0.07101605486712209,2022
2022-09-07,0.43226782833913785,0.04726996557309166,2022
2022-09-08,0.48575879664470184,0.019585138711125962,2022
2022-09-09,0.7447699559185543,-0.07567657341165765,2022
2022-09-10,0.8131993710231844,-0.07353157961395804,2022
2022-09-11,0.838591316685714,-0.1170350405271563,2022
2022-09-12,0.8773556553943294,-0.1365596348957305,2022
2022-09-13,0.6536589762759057,-0.0665350367070974,2022
2022-09-14,0.44632813208745353,-0.09132410902915011,2022
2022-09-15,0.33549271374168776,-0.015356979504426143,2022
2022-09-16,0.3217190521806713,-0.026266429202916688,2022
2022-09-17,0.35552561457311554,-0.06115120719416096,2022
2022-09-18,0.2627477223349218,-0.031857393087354316,2022
2022-09-19,0.3848138705124317,-0.015952938667735145,2022
2022-09-20,0.33010699167742863,0.010756772361178552,2022
2022-09-21,0.24872277624322786,0.05025377339595907,2022
2022-09-22,0.4177127073468537,0.009739225970553088,2022
2022-09-23,0.351583057086955,0.006855690084067814,2022
2022-09-24,0.3678115821639422,0.020426302201515582,2022
2022-09-25,0.3221306991263974,0.01317464726132529,2022
2022-09-26,0.4483843748522249,0.02065395150996885,2022
2022-09-27,0.31229484319401174,0.06388713940574282,2022
2022-09-28,0.6225348608510287,0.03768045739145251,2022
2022-09-29,0.628628367184257,0.018667528325364915,2022
2022-09-30,0.5729345715442242,0.0055185018119388715,2022
2022-10-01,0.5406894573006807,0.005526118464079932,2022
2022-10-02,0.4071410829607551,0.019858392979083647,2022
2022-10-03,0.6207512073261344,-0.025656609253465423,2022
2022-10-04,0.7550065502183406,-0.06489030867595368,2022
2022-10-05,0.7605705576779606,-0.051022683168722126,2022
2022-10-06,0.7007355159052414,-0.02977355255990239,2022
2022-10-07,0.40919699946806776,-0.018248359094159654,2022
2022-10-08,0.3821644042232278,-0.018113979315518086,2022
2022-10-09,0.3498361494951097,-0.009097267019350277,2022
2022-10-10,0.3048841045304593,0.021612594384048275,2022
2022-10-11,0.2879411517516771,0.013933949596674348,2022
2022-10-12,0.3816672880578181,-0.0016489247326032825,2022
2022-10-13,0.5029438517618382,-0.017347420279011594,2022
2022-10-14,0.5030423167038116,-0.0006551682102212485,2022
2022-10-15,0.419154266988848,0.007052384186396636,2022
2022-10-16,0.3943085612129286,0.015833101427631713,2022
2022-10-17,0.586323775426483,-0.01132431742116546,2022
2022-10-18,0.5108867056547906,0.03820193305049862,2022
2022-10-19,0.3957072235138416,0.08264366562512913,2022
2022-10-20,0.32001217885682637,0.06373710571506458,2022
2022-10-21,0.37403776522493926,0.07184205494729479,2022
2022-10-22,0.5012063626126126,0.0802809666467869,2022
2022-10-23,0.6906297442987623,0.052605946769209,2022
2022-10-24,0.6203542677624752,0.0583292689175582,2022
2022-10-25,0.8837406022273973,0.019897761490756463,2022
2022-10-26,0.908624958778387,-0.030290588318085423,2022
2022-10-27,0.9098150866683171,-0.00431031212532908,2022
2022-10-28,0.9224966308028156,0.02667504586867518,2022
2022-10-29,0.9506307433077978,0.023259712294053353,2022
2022-10-30,0.9392769356252705,0.013391941565927047,2022
2022-10-31,0.8692011384319076,0.004887323767182888,2022
2022-11-01,0.8733739668850375,-0.09930509060635284,2022
2022-11-02,0.7412915882319263,-0.2355429269818924,2022
2022-11-03,0.6982786636921976,-0.1381054173864712,2022
2022-11-04,0.8800071202602331,-0.21422922952751589,2022
2022-11-05,0.9287544043555097,-0.2365798191757909,2022
2022-11-06,0.9436261166408157,-0.24702138759025788,2022
2022-11-07,0.7273258579959314,-0.2142861026192601,2022
2022-11-08,0.47041747549630014,-0.09297310258672382,2022
2022-11-09,0.3396285913551389,0.0454236169057599,2022
2022-11-10,0.28296019519981946,-0.05300112964651028,2022
2022-11-11,0.20904883411601832,-0.021905031989519357,2022
2022-11-12,0.3098971087623178,-0.006648238480772373,2022
2022-11-13,0.31650302931948504,-0.0030432331533893115,2022
2022-11-14,0.37707984175957093,-0.05174923679884323,2022
2022-11-15,0.5098712579368929,-0.040674525161480235,2022
2022-11-16,0.2862728877679697,-0.0035862620716814006,2022
2022-11-17,0.3430405546932484,-0.005623670822169261,2022
2022-11-18,0.2724570521004011,-0.010734365512623219,2022
2022-11-19,0.30587040634482315,-0.014603122959981361,2022
2022-11-20,0.23938024644038347,0.009083186640795346,2022
2022-11-21,0.15780608435983579,0.026982777325669834,2022
2022-11-22,0.25914503709115394,0.013198446722339751,2022
2022-11-23,0.3713901434643996,0.033203165565032854,2022
2022-11-24,0.4464506992388034,0.022541840433255602,2022
2022-11-25,0.48310950331178426,0.03395251229856446,2022
2022-11-26,0.45064826529162855,0.02559118440344928,2022
2022-11-27,0.4084693183077191,0.04037706641921318,2022
2022-11-28,0.2839388164196348,0.04542413221548422,2022
2022-11-29,0.37922217373932793,0.038561370243272296,2022
2022-11-30,0.48496808300583233,-0.01923572881160012,2022
2022-12-01,0.5267228508565143,0.014428285114358357,2022
2022-12-02,0.491511414095393,0.0020934338018519455,2022
2022-12-03,0.46646830057682775,0.01424727643830208,2022
2022-12-04,0.48032956775660607,-0.0012079291920099127,2022
2022-12-05,0.40881562725953363,0.014248761529700223,2022
2022-12-06,0.41417110477173374,0.0393434569347041,2022
2022-12-07,0.41249520521672417,0.0558179439676733,2022
2022-12-08,0.627523923793138,0.007648291613947738,2022
2022-12-09,0.6869498853282092,-0.0294114802183485,2022
2022-12-10,0.6463776915377094,-0.02070448525724516,2022
2022-12-11,0.5875485780465834,-0.020509682272918377,2022
2022-12-12,0.5584304642694964,-0.0458314714101049,2022
2022-12-13,0.6560084378446308,-0.050725232391650554,2022
2022-12-14,0.7172065646715904,-0.056529146265180116,2022
2022-12-15,0.6104378795313746,-0.031304188744554505,2022
2022-12-16,0.5018261083099728,0.008762539372954273,2022
2022-12-17,0.3951643506963192,0.0035462886855418363,2022
2022-12-18,0.39222513546582766,0.005594241871241638,2022
2022-12-19,0.387130014568454,0.028811040732095734,2022
2022-12-20,0.499632302407675,-0.011261380272539073,2022
2022-12-21,0.5053304499582669,-0.016622710820279565,2022
2022-12-22,0.43033602046181746,-0.011236738278425912,2022
2022-12-23,0.44698858194283414,-0.010245108628495833,2022
2022-12-24,0.4476892853570762,-0.017599796616380423,2022
2022-12-25,0.4300667902499799,-0.012877148932750167,2022
2022-12-26,0.441923714655575,-0.014677454007932762,2022
2022-12-27,0.38204279999799745,-0.0018680988994303992,2022
2022-12-28,0.3962157063025748,0.01814847070727829,2022
2022-12-29,0.4552776267144304,0.011855994430158178,2022
2022-12-30,0.4222934460961659,0.02045298489242918,2022
2022-12-31,0.4220515115354017,0.023961628971913868,2022
2023-01-01,0.3010575113371787,0.030293403197262127,2023
2023-01-02,0.28552785939444475,0.029861783357298888,2023
2023-01-03,0.26308486338127385,0.04488287545533853,2023
2023-01-04,0.26616406106941276,0.06284253540073083,2023
2023-01-05,0.30463528559757047,0.1130606625525376,2023
2023-01-06,0.30087541067230306,0.1619204548069375,2023
2023-01-07,0.31584179371751936,0.2124850528429365,2023
2023-01-08,0.34661573875793006,0.1976799660394085,2023
2023-01-09,0.34494479314219023,0.20967943482612117,2023
2023-01-10,0.3428150541297977,0.19211718234958047,2023
2023-01-11,0.35554075184299,0.1418301447744595,2023
2023-01-12,0.3355926251419165,0.1115921002409947,2023
2023-01-13,0.3612202715786667,0.12869275082821846,2023
2023-01-14,0.35062748025315504,0.08366532066712809,2023
2023-01-15,0.3239744187137808,0.08432740880430847,2023
2023-01-16,0.2768568217911154,0.07853092759420308,2023
2023-01-17,0.2897336962881704,0.06848271392479083,2023
2023-01-18,0.3532405508303666,0.10909557550598487,2023
2023-01-19,0.32316194878490234,0.08798800544150197,2023
2023-01-20,0.3018413992294522,0.017793989883780798,2023
2023-01-21,0.34835377034136084,0.01043755784861683,2023
2023-01-22,0.32128312318906,0.044546266573462605,2023
2023-01-23,0.37305784800012454,-0.00394818472500002,2023
2023-01-24,0.3170955459219774,0.021515746928474577,2023
2023-01-25,0.3477708476242763,0.02871188132436401,2023
2023-01-26,0.33472926404502656,0.020615978913609126,2023
2023-01-27,0.31707679407003747,0.01538496515545652,2023
2023-01-28,0.27218388274542377,0.013128286757421686,2023
2023-01-29,0.2793577918711097,-0.03468527058825174,2023
2023-01-30,0.2874644764494337,-0.002791484871970706,2023
2023-01-31,0.3260536734999017,0.00497482024306567,2023
2023-02-01,0.34529294938072636,-0.03296793362411187,2023
2023-02-02,0.3064891589380964,-0.07478714748306016,2023
2023-02-03,0.28862040268565375,-0.08023950294166697,2023
2023-02-04,0.278082061647406,-0.06482950157504883,2023
2023-02-05,0.3247879424471681,-0.05141835806570172,2023
2023-02-06,0.3344222817862497,-0.04440010402343687,2023
2023-02-07,0.3001008637536153,-0.04580964360232052,2023
2023-02-08,0.3039689282901876,0.0575813479019806,2023
2023-02-09,0.32509917913479114,0.07601165497183332,2023
2023-02-10,0.3220228853022921,0.12766612662460863,2023
2023-02-11,0.29576207582150554,0.11926925337704784,2023
2023-02-12,0.3128836033236209,0.10815889588778733,2023
2023-02-13,0.374464543521476,0.13182860030315105,2023
2023-02-14,0.3720176501582249,0.09663347393204641,2023
2023-02-15,0.36337818910493175,-0.005848333979133956,2023
2023-02-16,0.3464302070665859,0.017804874757762025,2023
2023-02-17,0.34687007871678244,-0.05800693967879737,2023
2023-02-18,0.3242263558802034,-0.06174424726498581,2023
2023-02-19,0.2653584564833394,-0.029981790563563836,2023
2023-02-20,0.2447655616955211,-0.05588005122679558,2023
2023-02-21,0.2601526141436625,-0.055087988230679216,2023
2023-02-22,0.2805306376266279,-0.023143737269261673,2023
2023-02-23,0.2877904470904658,-0.02003546782822107,2023
2023-02-24,0.26192550105785983,-0.03649754019872085,2023
2023-02-25,0.28191736447740534,-0.03562729175461681,2023
2023-02-26,0.2402737156257452,-0.04892169562671958,2023
2023-02-27,0.2339587920751903,-0.04715648093153414,2023
2023-02-28,0.28523019049539644,-0.04163017458239842,2023
2023-03-01,0.3114867023090208,-0.08491058121746421,2023
2023-03-02,0.3291648804629685,-0.14184236341931125,2023
2023-03-03,0.30002941322831594,-0.1037819546710168,2023
2023-03-04,0.32422851658606544,-0.08840980288032842,2023
2023-03-05,0.3452817433998548,-0.019498967337295642,2023
2023-03-06,0.40035755013317537,0.07326373241322891,2023
2023-03-07,0.38857397267923327,0.10560415701490182,2023
2023-03-08,0.33525271037439214,0.11232313232547833,2023
2023-03-09,0.3400217609754123,0.20514580061116294,2023
2023-03-10,0.4185634057410946,0.30712672938802815,2023
2023-03-11,0.5030236818200361,0.2741416476722764,2023
