date,sum_tickers,total_column,within_tolerance
2025-04-16,-169.8,-169.8,True
2025-04-17,106.9,106.9,True
2025-04-18,0.0,0.0,True
2025-04-21,387.4,387.4,True
2025-04-22,936.5,936.5,True
2025-04-23,917.0,917.0,True
2025-04-24,442.0,442.0,True
2025-04-25,380.0,380.0,True
2025-04-28,591.1999999999999,591.2,True
2025-04-29,172.79999999999998,172.8,True
2025-04-30,-56.30000000000001,-56.3,True
2025-05-01,422.49999999999994,422.5,True
2025-05-02,674.9,674.9,True
2025-05-05,425.50000000000006,425.5,True
2025-05-06,-85.7,-85.7,True
2025-05-07,142.3,142.3,True
2025-05-08,117.39999999999999,117.4,True
2025-05-09,334.5,334.5,True
2025-05-12,5.200000000000008,5.2,True
2025-05-13,-91.4,-91.4,True
2025-05-14,319.5,319.5,True
2025-05-15,114.89999999999998,114.9,True
2025-05-16,260.2,260.2,True
2025-05-19,667.4,667.4,True
2025-05-20,329.2,329.2,True
2025-05-21,607.1,607.1,True
2025-05-22,934.8000000000001,934.8,True
2025-05-23,211.7,211.7,True
2025-05-26,0.0,0.0,True
2025-05-27,385.40000000000003,385.4,True
2025-05-28,432.7,432.7,True
2025-05-29,-346.8,-346.8,True
2025-05-30,-616.1,-616.1,True
2025-06-02,-267.5,-267.5,True
2025-06-03,375.1,375.1,True
2025-06-04,87.0,87.0,True
2025-06-05,-278.4,-278.4,True
2025-06-06,-47.8,-47.8,True
2025-06-09,386.2,386.2,True
2025-06-10,431.2,431.2,True
2025-06-11,164.6,164.6,True
2025-06-12,86.30000000000003,86.3,True
2025-06-13,322.7,322.7,True
2025-06-16,412.20000000000005,412.2,True
2025-06-17,216.50000000000003,216.5,True
2025-06-18,388.3,388.3,True
2025-06-19,0.0,0.0,True
2025-06-20,6.399999999999999,6.4,True
2025-06-23,350.6,350.6,True
2025-06-24,588.6,588.6,True
2025-06-25,547.7,547.7,True
2025-06-26,226.7,226.7,True
2025-06-27,501.2,501.2,True
2025-06-30,102.1,102.1,True
2025-07-01,-342.2,-342.2,True
2025-07-02,407.8,407.8,True
2025-07-03,601.8,601.8,True
2025-07-07,216.5,216.5,True
2025-07-08,80.1,80.1,True
2025-07-09,215.7,215.7,True
2025-07-10,1175.6,1175.6,True
2025-07-11,1029.6,1029.6,True
2025-07-14,297.4,297.4,True
2025-07-15,403.1,403.1,True
2025-07-16,799.4,799.4,True
2025-07-17,522.6,522.6,True
2025-07-18,363.5,363.5,True
2025-07-21,-131.4,-131.4,True
2025-07-22,-68.0,-68.0,True
2025-07-23,-85.8,-85.8,True
2025-07-24,226.7,226.7,True
2025-07-25,130.8,130.8,True
2025-07-28,157.1,157.1,True
2025-07-29,80.0,80.0,True
2025-07-30,47.099999999999994,47.1,True
2025-07-31,-114.80000000000001,-114.8,True
2025-08-01,-812.3,-812.3,True
2025-08-04,-323.5,-323.5,True
2025-08-05,-196.2,-196.2,True
2025-08-06,91.6,91.6,True
2025-08-07,277.4,277.4,True
2025-08-08,403.9,403.9,True
2025-08-11,178.1,178.1,True
2025-08-12,65.9,65.9,True
2025-08-13,86.9,86.9,True
2025-08-14,230.80000000000004,230.8,True
2025-08-15,-14.099999999999994,-14.1,True
2025-08-18,-121.7,-121.7,True
2025-08-19,-523.3,-523.3,True
2025-08-20,-315.9,-315.9,True
2025-08-21,-194.4,-194.4,True
2025-08-22,-23.20000000000001,-23.2,True
2025-08-25,219.1,219.1,True
2025-08-26,88.1,88.1,True
2025-08-27,81.39999999999999,81.4,True
2025-08-28,178.9,178.9,True
2025-08-29,-126.7,-126.7,True
2025-09-02,332.8,332.8,True
2025-09-03,300.5,300.5,True
2025-09-04,-222.9,-222.9,True
2025-09-05,-160.1,-160.1,True
2025-09-08,364.3,364.3,True
2025-09-09,23.000000000000018,23.0,True
2025-09-10,741.5,741.5,True
2025-09-11,552.6999999999999,552.7,True
2025-09-12,642.4,642.4,True
2025-09-15,259.90000000000003,259.9,True
2025-09-16,292.3,292.3,True
2025-09-17,-51.30000000000001,-51.3,True
2025-09-18,163.0,163.0,True
2025-09-19,222.6,222.6,True
2025-09-22,-363.09999999999997,-363.1,True
2025-09-23,-103.8,-103.8,True
2025-09-24,241.0,241.0,True
2025-09-25,-253.4,-253.4,True
2025-09-26,-418.29999999999995,-418.3,True
2025-09-29,518.0,518.0,True
2025-09-30,429.9,429.9,True
2025-10-01,675.8,675.8,True
2025-10-02,627.2,627.2,True
2025-10-03,985.1,985.1,True
2025-10-06,1205.2,1205.2,True
2025-10-07,875.6,875.6,True
2025-10-08,440.7,440.7,True
2025-10-09,197.8,197.8,True
2025-10-10,-4.499999999999995,-4.5,True
2025-10-13,-326.4,-326.4,True
2025-10-14,102.69999999999999,102.7,True
2025-10-15,-104.10000000000001,-104.1,True
2025-10-16,-530.9,-530.9,True
2025-10-17,-366.6,-366.6,True
2025-10-20,-40.400000000000006,-40.4,True
2025-10-21,477.2,477.2,True
2025-10-22,-101.4,-101.4,True
2025-10-23,20.299999999999997,20.3,True
2025-10-24,90.6,90.6,True
2025-10-27,149.3,149.3,True
2025-10-28,202.4,202.4,True
2025-10-29,-470.7,-470.7,True
2025-10-30,-488.4,-488.4,True
2025-10-31,-191.60000000000002,-191.6,True
2025-11-03,-186.5,-186.5,True
2025-11-04,-566.4,-566.4,True
2025-11-05,-137.0,-137.0,True
2025-11-06,239.9,239.9,True
2025-11-07,-558.4,-558.4,True
2025-11-10,1.2,1.2,True
2025-11-11,524.0,524.0,True
2025-11-12,-278.1,-278.1,True
2025-11-13,-866.7,-866.7,True
2025-11-14,-492.1,-492.1,True
2025-11-17,-254.6,-254.6,True
2025-11-18,-372.80000000000007,-372.8,True
2025-11-19,75.4,75.4,True
2025-11-20,-903.2,-903.2,True
2025-11-21,238.4,238.4,True
2025-11-24,-151.0,-151.0,True
2025-11-25,128.70000000000002,128.7,True
2025-11-26,21.1,21.1,True
2025-11-28,71.39999999999999,71.4,True
2025-12-01,8.499999999999995,8.5,True
2025-12-02,58.499999999999986,58.5,True
2025-12-03,-14.9,-14.9,True
2025-12-04,-194.6,-194.6,True
2025-12-05,54.8,54.8,True
2025-12-08,-60.4,-60.4,True
2025-12-09,151.9,151.9,True
2025-12-10,223.5,223.5,True
2025-12-11,-77.49999999999999,-77.5,True
2025-12-12,49.1,49.1,True
2025-12-15,-357.59999999999997,-357.6,True
2025-12-16,-277.2,-277.2,True
2025-12-17,457.3,457.3,True
2025-12-18,-161.3,-161.3,True
2025-12-19,-158.29999999999998,-158.3,True
2025-12-22,-142.2,-142.2,True
2025-12-23,-188.60000000000002,-188.6,True
2025-12-24,-175.3,-175.3,True
2025-12-26,-275.9,-275.9,True
2025-12-29,-19.3,-19.3,True
2025-12-30,355.09999999999997,355.1,True
2025-12-31,-348.09999999999997,-348.1,True
2026-01-02,471.29999999999995,471.3,True
2026-01-05,697.1999999999999,697.2,True
2026-01-06,-243.2,-243.2,True
2026-01-07,-486.09999999999997,-486.1,True
2026-01-08,-398.8,-398.8,True
2026-01-09,-250.0,-250.0,True
2026-01-12,116.7,116.7,True
2026-01-13,753.8,753.8,True
2026-01-14,840.6,840.6,True
2026-01-15,100.2,100.2,True
2026-01-16,-394.7,-394.7,True
2026-01-20,-479.7,-479.7,True
2026-01-21,-708.7,-708.7,True
2026-01-22,-32.2,-32.2,True
2026-01-23,-103.5,-103.5,True
2026-01-26,6.800000000000001,6.8,True
2026-01-27,-147.4,-147.4,True
2026-01-28,-19.6,-19.6,True
2026-01-29,-817.8000000000001,-817.8,True
2026-01-30,-509.69999999999993,-509.7,True
2026-02-02,561.8,561.8,True
2026-02-03,-272.0,-272.0,True
2026-02-04,-544.9,-544.9,True
2026-02-05,-434.1,-434.1,True
2026-02-06,371.09999999999997,371.1,True
2026-02-09,144.9,144.9,True
2026-02-10,166.5,166.5,True
2026-02-11,-276.3,-276.3,True
2026-02-12,-410.2,-410.2,True
2026-02-13,15.1,15.1,True
2026-02-17,-104.9,-104.9,True
2026-02-18,-133.3,-133.3,True
2026-02-19,-165.79999999999998,-165.8,True
2026-02-20,88.1,88.1,True
2026-02-23,-203.8,-203.8,True
2026-02-24,257.7,257.7,True
2026-02-25,506.59999999999997,506.6,True
2026-02-26,254.4,254.4,True
2026-02-27,-27.500000000000004,-27.5,True
2026-03-02,458.2,458.2,True
2026-03-03,225.2,225.2,True
2026-03-04,461.90000000000003,461.9,True
2026-03-05,-227.9,-227.9,True
2026-03-06,-348.9,-348.9,True
2026-03-09,167.1,167.1,True
2026-03-10,246.9,246.9,True
2026-03-11,115.2,115.2,True
2026-03-12,53.800000000000004,53.8,True
2026-03-13,180.4,180.4,True
2026-03-16,199.4,199.4,True
2026-03-17,199.4,199.4,True
2026-03-18,-163.5,-163.5,True
2026-03-19,-90.19999999999999,-90.2,True
2026-03-20,-52.0,-52.0,True
2026-03-23,167.20000000000002,167.2,True
2026-03-24,-74.5,-74.5,True
2026-03-25,7.7999999999999945,7.8,True
2026-03-26,-171.3,-171.3,True
2026-03-27,-225.5,-225.5,True
2026-03-30,69.4,69.4,True
2026-03-31,117.5,117.5,True
2026-04-01,-173.7,-173.7,True
2026-04-02,9.0,9.0,True
2026-04-06,471.40000000000003,471.4,True
2026-04-07,-159.1,-159.1,True
2026-04-08,-93.89999999999999,-93.9,True
2026-04-09,358.1,358.1,True
2026-04-10,256.7,256.7,True
2026-04-13,-291.0,-291.0,True
2026-04-14,411.4,411.4,True
2026-04-15,186.09999999999997,186.1,True
2026-04-16,26.1,26.1,True
2026-04-17,663.9,663.9,True
2026-04-20,238.4,238.4,True
2026-04-21,11.8,11.8,True
2026-04-22,335.8,335.8,True
2026-04-23,223.3,223.3,True
2026-04-24,14.399999999999999,14.4,True
2026-04-27,-263.2,-263.2,True
2026-04-28,-89.7,-89.7,True
2026-04-29,-137.6,-137.6,True
2026-04-30,23.500000000000004,23.5,True
2026-05-01,629.8,629.8,True
2026-05-04,532.3,532.3,True
2026-05-05,467.3,467.3,True
2026-05-06,46.199999999999996,46.2,True
2026-05-07,-268.5,-268.5,True
2026-05-08,-145.7,-145.7,True
2026-05-11,27.2,27.2,True
2026-05-12,-233.2,-233.2,True
2026-05-13,-630.4,-630.4,True
2026-05-14,131.29999999999998,131.3,True
2026-05-15,-290.4,-290.4,True
2026-05-18,-648.6,-648.6,True
2026-05-19,-331.1,-331.1,True
2026-05-20,-70.5,-70.5,True
2026-05-21,-100.9,-100.9,True
2026-05-22,-105.2,-105.2,True
