fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
M057,Mayer Multiple,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,30,holdout,full,1300,43.3,-0.0658,-0.2545,0.1092,0.0658,True,False,ok
M057,Mayer Multiple,cycle,-1,cm,90,dev,full,4260,47.3,0.1563,-0.0229,0.3376,-0.1563,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3468,38.5,0.1847,-0.0333,0.3916,-0.1847,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,90,dev,ex_2017,3805,42.3,0.0945,-0.1209,0.2711,-0.0945,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,180,dev,full,4170,23.2,0.2052,-0.0382,0.4095,-0.2052,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3288,18.3,0.2236,-0.0672,0.4351,-0.2236,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,180,dev,ex_2017,3625,20.1,0.165,-0.1151,0.3723,-0.165,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,365,dev,full,3985,10.9,0.0473,-0.204,0.2334,-0.0473,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2949,8.1,0.1288,-0.1742,0.3569,-0.1288,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,365,dev,ex_2017,3255,8.9,0.0364,-0.2234,0.292,-0.0364,False,False,ok
M057,Mayer Multiple,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M057,Mayer Multiple,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,1,dev,full,3149,3149.0,0.0117,-0.0195,0.0428,-0.0117,False,False,ok
M059,200W MA distance,cycle,-1,cm,1,dev,ex_2020-03_2022-01,2446,2446.0,0.0196,-0.0191,0.0561,-0.0196,False,False,ok
M059,200W MA distance,cycle,-1,cm,1,dev,ex_2017,2783,2783.0,-0.0203,-0.0533,0.0083,0.0203,True,False,ok
M059,200W MA distance,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0639,-0.1425,-0.0034,0.0639,True,True,ok
